g_advertiser_id,pod,pod_channel,pod_sub_channel,pod_sector,ultimate_parent_name,legal_entity_name,advertiser_account_name,sfdc_ultimate_parent_account_id,sfdc_legal_entity_account_id,sfdc_account_id,service_model_tier,"Eligible for Avatria
form for service request",primary_msot,sentiment,last_28d_spend,last_90d_spend,last_365d_spend,cpc_spend_90d,ocpm_spend_90d,lower_funnel_spend_90d,catalog_sales_spend_90d,conversion_spend_90d,shopping_conversion_spend_90d,consideration_spend_90d,awareness_vc_spend_90d,awareness_spend_90d,creative_count_90d,high_impact_spend_365d,web_eqs_score,web_eqs_status,web blocker,web resolution timing,app_eqs_score,app_eqs_status,app blocker,app resolution timing,offline_eqs_score,offline_eqs_status,offline blocker,offline resolution timing,Notes,,,,pplus_campaigns_revenue,pplus_campaigns_eligible_spend,pplus_campaigns_pct_rev,full_pplus_feature_adoption_pct_rev,pplus_bidding_pct_rev,pplus_budgets_pct_rev,pplus_targeting_pct_rev,pplus_creative_pct_rev,pplus_roas_bidding_pct_rev,dt
549768033830,EX-GCR-TEM-01-PIN,Greater China,Greater China,Greater China,"Shenzhen Qianhai Xinzhijiang Information Technology Co., Ltd.",SE_DPA_1,SE_DPA_1,0013m000031ToiP,001Pr00000DvJZgIAN,001Pr00000DvOmEIAV,0_must_win,No,Client-owned MTA (custom model developed by advertiser),None,134542.6245,344481.082,1074947.03,0,344481.082,344481.082,302542.1329,41938.94907,344481.082,0,0,0,3,0,4.8,NEEDS IMPROVEMENT,,,3.4,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,0,8336.607936,0,0.3840220093,1,1,0,0,0,2026-02-03
549755840913,EX-GCR-KAM-01-PIN,Greater China,Greater China,Greater China,"ZOETOP BUSINESS CO., LIMITED",SheIn Group Limited,"Etelligence Technologies, Inc.",0011N00001LW9EZ,0011N00001LWBK5QAP,0011N00001LWOJKQA5,1_t200,No,Client-owned MTA (custom model developed by advertiser),None,856221.3968,1258855.673,2306434.935,0,1258855.673,1258855.673,1258855.673,0,1258855.673,0,0,0,1,0,2.4,NEEDS IMPROVEMENT,,,4.8,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,null,null,null,null,null,null,null,null,null,2026-02-03
549769086280,#N/A,Greater China,Greater China,Greater China,"ZOETOP BUSINESS CO., LIMITED",SHEIN-ALL-品牌-常规,SHEIN-ALL-品牌-常规,0011N00001LW9EZ,001Pr00000QR1pGIAT,001Pr00000QR1yxIAD,1_t200,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A,,,#N/A,#N/A,,,,,,,3484.427001,3484.427001,1,1,1,1,0,1,1,2026-02-03
549769377303,EX-GCR-KAM-01-PIN,Greater China,Greater China,Greater China,"ZOETOP BUSINESS CO., LIMITED",SHEIN-ARG-SINO,SHEIN-ARG-SINO,0011N00001LW9EZ,001PW00000vRxoaYAC,001PW00000vRhW7YAK,1_t200,No,Client-owned MTA (custom model developed by advertiser),None,2.40E+04,5.27E+04,78965.68685,0,5.27E+04,5.27E+04,52728.49176,0.00E+00,5.27E+04,0,0.00E+00,0,1,0,2.4,NEEDS IMPROVEMENT,,,4.8,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,0,8022.890699,0,0.599999424,1,1,0,0,0.599999424,2026-02-03
549767511266,EX-GCR-KAM-01-PIN,Greater China,Greater China,Greater China,"ZOETOP BUSINESS CO., LIMITED",SHEIN-AU-YM,SHEIN-AU-YM,0011N00001LW9EZ,001Pr000008FS93IAG,001Pr000008FU7iIAG,1_t200,No,Client-owned MTA (custom model developed by advertiser),None,20276.87572,60055.61504,219965.7303,0,60055.61504,60055.61504,6.01E+04,0,6.01E+04,0,0,0,1,0,2.4,NEEDS IMPROVEMENT,,,4.8,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,2800.769061,3611.222251,0.775573716,1,1,1,0,1,1,2026-02-03
549756703000,EX-GCR-KAM-01-PIN,Greater China,Greater China,Greater China,"ZOETOP BUSINESS CO., LIMITED",SHEIN-BR,SHEIN-BR,0011N00001LW9EZ,0013m00002VgR1SAAV,0013m00002VgRaaAAF,1_t200,No,Client-owned MTA (custom model developed by advertiser),None,55909.80274,178490.3406,624650.2552,0,178490.3406,178490.3406,178490.3406,0,178490.3406,0,0,0,1,0,2.4,NEEDS IMPROVEMENT,,,4.8,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,2994.737753,2994.737753,1,1,1,1,1,0,0,2026-02-03
549766813947,EX-GCR-KAM-01-PIN,Greater China,Greater China,Greater China,"ZOETOP BUSINESS CO., LIMITED",SHEIN-CA-YM,SHEIN-CA-YM,0011N00001LW9EZ,001Pr000008FLcEIAW,001Pr000008FU7gIAG,1_t200,No,Client-owned MTA (custom model developed by advertiser),None,6.27E+04,134170.203,396132.3084,0,134170.203,134170.203,134170.203,0,134170.203,0,0,0,1,0,2.4,NEEDS IMPROVEMENT,,,4.8,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,5792.565375,8061.445002,0.7185517452,0.9841396063,1,1,0,0.9841396063,0,2026-02-03
549767599940,EX-GCR-KAM-01-PIN,Greater China,Greater China,Greater China,"ZOETOP BUSINESS CO., LIMITED",SHEIN-CO-YM,SHEIN-CO-YM,0011N00001LW9EZ,001Pr000008FI6pIAG,001Pr000008FU7dIAG,1_t200,No,Client-owned MTA (custom model developed by advertiser),None,14914.61521,38077.06447,151772.1715,0.00E+00,38077.06447,38077.06447,38077.06447,0,38077.06447,0.00E+00,0,0,1,0,2.4,NEEDS IMPROVEMENT,,,4.8,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,2206.182578,2891.139085,0.7630842077,1,1,1,0,1,0,2026-02-03
549765939683,EX-GCR-KAM-01-PIN,Greater China,Greater China,Greater China,"ZOETOP BUSINESS CO., LIMITED",shein-ES,SHEIN-ES,0011N00001LW9EZ,0013m000031US4cAAG,0013m000031US8aAAG,1_t200,No,Client-owned MTA (custom model developed by advertiser),None,25240.77433,36487.70762,259060.6564,0,36487.70762,36487.70762,36487.70762,0,36487.70762,0,0,0,1,0,2.4,NEEDS IMPROVEMENT,,,4.8,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,4583.389892,5497.977961,0.8336501026,1,1,1,0,1,0,2026-02-03
549765251858,EX-GCR-KAM-01-PIN,Greater China,Greater China,Greater China,"ZOETOP BUSINESS CO., LIMITED",SHEIN-FR,SHEIN-FR,0011N00001LW9EZ,0013m00002tqs72AAA,0013m00002tqsSwAAI,1_t200,No,Client-owned MTA (custom model developed by advertiser),None,50542.93781,95823.38003,478868.1734,0,95823.38003,95823.38003,95823.38003,0,95823.38003,0,0,0,1,0,2.4,NEEDS IMPROVEMENT,,,4.8,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,8265.168904,13564.77222,0.6093112933,1,1,1,0,1,0,2026-02-03
